"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"GPT-4 Turbo 0409","74.86","-","-","-","-","-","-","-","24-04-09","0"
"GPT-4o 0806","68.76","-","-","-","-","-","-","-","24-08-06","0"
"GLM-4 Plus","63.73","-","-","-","-","-","-","-","24-08-29","0"
"Claude Sonnet 3.5 0620","60.36","-","-","-","-","-","-","-","24-06-20","0"
"Gemini Pro Exp 0827","58.82","-","-","-","-","-","-","-","24-08-27","0"
"ERNIE 4.0-0613","56.97","-","-","-","-","-","-","-","24-06-13","0"
"DeepSeek Coder V2 0724","55.22","-","-","-","-","-","-","-","24-07-24","0"
"Mistral large 2407","54.50","-","-","-","-","-","-","-","24-07-24","0"
"Llama3.1-405b","52.76","-","-","-","-","-","-","-","24-07-24","0"
"DeepSeek V2 0628","51.74","-","-","-","-","-","-","-","24-06-28","0"
"Claude3 Opus","51.23","-","-","-","-","-","-","-","24-03-04","0"
"YI-Large","47.93","-","-","-","-","-","-","-","24-05-13","0"
"ERNIE 3.5-0701","41.84","-","-","-","-","-","-","-","24-07-25","0"
"TianGong 3.0","41.78","-","-","-","-","-","-","-","24-5月","0"
"ERNIE 4.0 Turbo 0628","41.09","-","-","-","-","-","-","-","24-06-28","0"
"GPT-4o mini","40.57","-","-","-","-","-","-","-","24-07-18","0"
"SenseNova 5.5","39.37","-","-","-","-","-","-","-","24-08-01","0"
"Doubao 240615","38.54","-","-","-","-","-","-","-","24-06-18","0"
"Kimi","37.88","-","-","-","-","-","-","-","24-04-18","0"
"Qwen-max-0428","35.78","-","-","-","-","-","-","-","24-04-28","0"
"Baichuan4","34.96","-","-","-","-","-","-","-","24-05-22","0"
"Spark 4.0","30.82","-","-","-","-","-","-","-","24-06-27","0"
"Hunyuan Pro","30.45","-","-","-","-","-","-","-","24-04-25","0"
"Step-1V","23.75","-","-","-","-","-","-","-","24-03-23","0"
"MiniMax abab6.5","23.14","-","-","-","-","-","-","-","24-04-17","0"
