"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"GPT-4 Turbo 0409","76.53","-","-","-","-","-","-","-","24-04-09","0"
"GPT-4o 0513","69.13","-","-","-","-","-","-","-","24-05-13","0"
"Sonnet 3.5 0620","63.76","-","-","-","-","-","-","-","24-06-20","0"
"ERNIE 4.0-0613","59.30","-","-","+2.28(1.4%)","-","-","-","-","24-06-13","0"
"ERNIE 4.0-0329","58.46","-","-","-","-","-","-","-","24-03-29","0"
"DeepSeek Coder V2","58.35","-","-","-","-","-","-","-","24-06-18","0"
"Opus 3","54.51","-","-","-","-","-","-","-","24-03-04","0"
"YI-Large","51.80","-","-","-","-","-","-","-","24-05-13","0"
"Qwen2-72b","47.91","-","-","-","-","-","-","-","24-06-07","0"
"GPT-4 0613","46.61","-","-","-","-","-","-","-","23-06-13","0"
"ERNIE 4.0 Turbo 0628","45.95","-","-","-","-","-","-","-","24-06-28","0"
"TianGong 3.0","44.56","-","-","-","-","-","-","-","24-5月","0"
"ERNIE 3.5-0613","44.06","-","-","+0.49(1.1%)","-","-","-","-","24-06-13","0"
"ERNIE 3.5-0329","43.57","-","-","-","-","-","-","-","24-03-29","0"
"Qwen-max-0428","41.87","-","-","-","-","-","-","-","24-04-28","0"
"Kimi","40.80","-","-","-","-","-","-","-","24-04-18","0"
"Doubao 240615","39.71","-","-","+5.29(15.36%)","-","-","-","-","24-06-18","0"
"DeepSeekV2","39.49","-","-","-","-","-","-","-","24-05-06","0"
"Baichuan4","38.11","-","-","-","-","-","-","-","24-05-22","0"
"Gemini Pro 1.5","37.49","-","-","-","-","-","-","-","24-04-10","0"
"ChatGLM4-0520","36.52","-","-","-","-","-","-","-","24-06-05","0"
"Doubao 240515","34.42","-","-","-","-","-","-","-","24-05-15","0"
"Hunyuan Pro","33.94","-","-","-","-","-","-","-","24-04-25","0"
"SenseNova 5.0","33.48","-","-","-","-","-","-","-","24-04-23","0"
"Spark 4.0","33.47","-","-","+4.2(14.3%)","-","-","-","-","24-06-27","0"
"ChatGLM4-air","29.81","-","-","-","-","-","-","-","25-06-05","0"
"MiniMax abab6.5","29.41","-","-","-","-","-","-","-","24-04-17","0"
"Spark 3.5","29.27","-","-","-","-","-","-","-","24-01-30","0"
"Step-1V","27.77","-","-","-","-","-","-","-","24-03-23","0"
"GPT-3.5","14.71","-","-","-","-","-","-","-","24-01-25","0"
