报告日期,,原始分数,百分制,较上次变更,发布时间
2024-10,O1 Preview,225.04,86.55,-,24-09-12
2024-10,O1 mini preview,194.706,74.89,-,24-09-12
2024-10,Claude Sonnet 3.5 1022,188.344,72.44,+10.43(16.8%),24-10-22
2024-10,GPT-4 Turbo 0409,184.153,70.83,-,24-04-09
2024-10,GPT-4o 0806,179.143,68.90,-,24-08-06
2024-10,Qwen-max-0919,158.698,61.04,-,24-09-19
2024-10,GLM-4 Plus,154.397,59.38,-,24-08-29
2024-10,Grok2 0813,154.019,59.24,-,24-08-13
2024-10,Qwen2.5-72b,146.99,56.53,-,24-09-19
2024-10,Gemini Pro Exp 0827,145.79,56.07,-,24-08-27
2024-10,DeepSeek V2.5,144.61,55.62,-,24-09-05
2024-10,阶跃星辰 Step-2,141.329,54.36,-,24-09-03
2024-10,文心一言 4.0-0613,135.502,52.12,-,24-06-13
2024-10,YI-Lightning,131.778,50.68,+8.29(19.5%),24-10-16
2024-10,Llama3.1-405b,130.043,50.02,-,24-07-24
2024-10,Mistral large 2407,129.801,49.92,-,24-07-24
2024-10,hunyuan turbo 1017,128.786,49.53,+6.13(14%),24-10-17
2024-10,Claude3 Opus,122.713,47.20,-,24-03-04
2024-10,Kimi,106.117,40.81,+10.99(36.8%),24-10月
2024-10,字节豆包 240828,103.144,39.67,-,24-08-28
2024-10,文心一言 3.5-0701,100.817,38.78,-,24-07-25
2024-10,天工3.0,93.38,35.92,-,24-5月
2024-10,GPT-4o mini,88.589,34.07,-,24-07-18
2024-10,百川4,83.983,32.30,-,24-05-22
2024-10,日日新5.5,83.324,32.05,-,24-08-01
2024-10,阶跃星辰 Step-1.5V,82.91,31.89,-,24-08-13
2024-10,讯飞星火4.0Ultra,75.367,28.99,-,24-09-24
2024-10,MiniMax abab6.5,56.714,21.81,-,24-04-17
