"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"O1 Preview","87.52","-","-","-","-","-","-","-","24-09-12","1"
"O1 mini preview","76.81","-","-","-","-","-","-","-","24-09-12","1"
"GPT-4 Turbo 0409","74.67","-","-","-","-","-","-","-","24-04-09","0"
"GPT-4o 0806","69.86","-","-","-","-","-","-","-","24-08-06","0"
"Grok2 0813","63.08","-","-","-","-","-","-","-","24-08-13","0"
"GLM-4 Plus","62.27","-","-","-","-","-","-","-","24-08-29","0"
"Claude Sonnet 3.5 0620","62.01","-","-","-","-","-","-","-","24-06-20","0"
"Qwen-max-0919","62.00","-","-","+25.12(70.5%)","-","-","-","-","24-09-19","0"
"Qwen2.5-72b","58.46","-","-","+10.55(22%)","-","-","-","-","24-09-19","0"
"Gemini Pro Exp 0827","58.00","-","-","-","-","-","-","-","24-08-27","0"
"Step-2","56.28","-","-","+19.9(51.1%)","-","-","-","-","24-09-03","0"
"ERNIE 4.0-0613","55.96","-","-","-","-","-","-","-","24-06-13","0"
"DeepSeek V2.5","55.62","-","-","+2.24(4.2%)","-","-","-","-","24-09-05","0"
"Mistral large 2407","53.77","-","-","-","-","-","-","-","24-07-24","0"
"Llama3.1-405b","51.94","-","-","-","-","-","-","-","24-07-24","0"
"Claude3 Opus","51.04","-","-","-","-","-","-","-","24-03-04","0"
"hunyuan turbo","47.25","-","-","+18.81(60.6%)","-","-","-","-","24-09-02","0"
"YI-Large","45.28","-","-","-","-","-","-","-","24-05-13","0"
"Doubao 240828","42.56","-","-","+1.64(4%)","-","-","-","-","24-08-28","0"
"ERNIE 3.5-0701","41.66","-","-","-","-","-","-","-","24-07-25","0"
"TianGong 3.0","39.76","-","-","-","-","-","-","-","24-5月","0"
"GPT-4o mini","37.92","-","-","-","-","-","-","-","24-07-18","0"
"SenseNova 5.5","35.89","-","-","-","-","-","-","-","24-08-01","0"
"Step-1.5V","35.73","-","-","+7.8(25%)","-","-","-","-","24-08-13","0"
"Kimi","33.66","-","-","-","-","-","-","-","24-04-18","0"
"Spark 4.0 Ultra","32.83","-","-","+0.27(0.8%)","-","-","-","-","24-09-24","0"
"Baichuan4","32.30","-","-","-","-","-","-","-","24-05-22","0"
"MiniMax abab6.5","24.70","-","-","-","-","-","-","-","24-04-17","0"
