"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"GPT-5.2 (high)","85.12","80.71","5.18%","+5.6%","337","17917","¥50.57","¥100.80","25-12-12","1"
"Gemini 3 Pro","84.06","75.64","10.02%","+54.7%","133","14018","¥33.91","¥86.40","25-11-19","1"
"Gemini 3 Flash (high)","79.81","73.32","8.13%","+65%","212","41928","¥25.36","¥21.60","25-12-18","1"
"Kimi-K2.5 (Think)","76.26","65.21","14.48%","+7.8%","361","26176","¥15.39","¥21.00","26-01-27","1"
"GPT-5 Mini(high)","75.76","71.43","5.71%","-","314","25690","¥10.36","¥14.40","25-08-07","1"
"Claude Sonnet 4.5(Think)","72.34","60.83","15.91%","+29%","212","12982","¥39.26","¥108.00","25-09-29","1"
"Grok 4","72.20","63.91","11.48%","+35.2%","320","17464","¥52.81","¥108.00","25-07-10","1"
"GLM-4.7(Think)","71.15","62.94","11.54%","+58.3%","383","17941","¥7.03","¥14.00","25-12-23","1"
"Kimi-K2-Thinking","70.72","55.69","21.25%","-","1328","27788","¥12.45","¥16.00","25-11-06","1"
"DeepSeek V3.2-1201(Think)","69.42","53.16","23.42%","+19%","612","17435","¥1.46","¥3.00","25-12-01","1"
"Doubao-Seed-1.8 1228 (high)","68.78","56.67","17.60%","-9.5%","461","23997","¥5.38","¥8.00","26-01-05","1"
"Grok 4.1 Fast(Think)","62.41","54.11","13.30%","-","185","16521","¥1.67","¥3.60","25-11-19","1"
"Qwen3-Max Preview(Think)","60.59","49.60","18.13%","-","552","24274","¥16.31","¥24.00","25-11-02","1"
"ERNIE 5.0","59.46","41.43","30.33%","+14.9%","753","19887","¥13.36","¥24.00","26-01-20","1"
"MiMo-V2-Flash (Think)","53.11","36.56","31.16%","-","243","23144","¥1.40","¥2.16","25-12-17","1"
"Qwen3-235B-A22B-2507(Think)","52.75","46.71","11.45%","+14.5%","436","22487","¥12.59","¥20.00","25-07-25","1"
"MiMo-V2-Flash 0112 (Think)","52.05","35.26","32.27%","-","236","22136","¥1.34","¥2.16","26-01-19","1"
"Tencent HY 2.0 Think","51.78","38.67","25.33%","32.1%","247","15536","¥1.74","¥4.00","25-12-05","1"
"ERNIE 5.0 Preview","51.73","36.10","30.21%","+78%","761","16761","¥11.26","¥24.00","25-11-12","1"
"Qwen3-Max","50.46","42.85","15.07%","+5.2%","126","4640","¥3.12","¥24.00","25-09-24","0"
"gpt-oss-120b(high)","49.68","38.39","22.73%","-","59","7190","¥0.72","¥3.60","25-08-05","1"
"Ring-1T","48.91","33.39","31.75%","-","884","25571","¥11.46","¥16.00","25-10-14","1"
"Claude Opus 4.5","47.47","33.08","30.31%","+14.4%","27","1583","¥7.98","¥180.00","25-11-25","0"
"GLM-4.7","46.08","35.02","23.99%","+48.1%","30","1586","¥0.62","¥14.00","25-12-23","0"
"DeepSeek V3.2-1201","45.84","32.38","29.36%","+46.5%","117","3319","¥0.28","¥3.00","25-12-01","0"
"Qwen3-235B-A22B-2507","45.05","34.51","23.41%","+54%","205","5552","¥1.24","¥8.00","25-07-21","0"
"MiniMax-M2.1","43.43","36.72","15.43%","-21.6%","248","16496","¥3.88","¥8.40","25-12-23","1"
"Kimi-K2.5","43.11","33.48","22.35%","+5.5%","64","2676","¥1.57","¥21.00","26-01-27","0"
"Qwen3-Next-80B-A3B(Think)","42.05","32.61","22.44%","-","412","31860","¥8.92","¥10.00","25-09-12","1"
"讯飞星火X1.5","41.88","25.90","38.16%","+42%","1355","23602","¥7.93","¥12.00","25-11-03","1"
"kimi-k2-0905-preview","40.85","26.04","36.26%","+71%","245","3888","¥1.74","¥16.00","25-09-05","0"
"Gemini 3 Flash","38.76","34.18","11.81%","+39.5%","10","1235","¥0.75","¥21.60","25-12-18","0"
"Step-3","37.49","30.02","19.92%","-","721","15853","¥3.55","¥8.00","25-07-31","1"
"Ling-1T","35.39","28.22","20.27%","-","210","6392","¥2.86","¥16.00","25-10-09","0"
"SenseNova-V6.5-Pro","35.23","24.65","30.02%","+12.9%","826","19855","¥5.00","¥9.00","25-07-26","1"
"Doubao-Seed-1.8 1228","30.38","22.98","24.36%","-2.3%","67","3320","¥0.74","¥8.00","26-01-05","0"
"Claude Sonnet 4.5","28.26","23.01","18.60%","-15%","20","1291","¥3.90","¥108.00","25-09-29","0"
"MiMo-V2-Flash 0112","27.67","15.61","43.61%","+15%","46","3724","¥0.23","¥2.16","26-01-19","0"
"Mistral Large 3","26.35","21.01","20.27%","+29.9%","57","2249","¥0.68","¥10.80","25-12-03","0"
"GLM-4.7 Flash","25.30","17.31","31.59%","-","144","2125","-","-","26-01-20","0"
"MiMo-V2-Flash","24.06","15.21","36.76%","-","18","2067","¥0.13","¥2.16","25-12-17","0"
"Ling-flash-2.0","21.81","16.92","22.43%","-","160","7099","¥0.80","¥4.00","25-09-18","0"
"Claude Haiku 4.5","21.20","16.95","20.05%","-","7","902","¥0.91","¥36.00","25-10-16","0"
"Grok 4.1 Fast","20.51","13.34","34.93%","-17%","10","785","¥0.08","¥3.60","25-11-19","0"
